Time,Action,Data
2015/03/14 02:29:01,Create,"{u'description': u'A simple 2-3-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/1-U/politeness1-U.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.3}"
2015/03/14 02:33:27,Create,"{u'description': u'A simple 2-3-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/1-U/politeness1-U.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.3}"
2015/03/14 10:37:29,Add,50 assignments
2015/04/01 23:24:07,Create,"{u'description': u'A simple 2-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://stanford.edu/~ejyoon/politeness/v2/polimp-v2.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.25}"
2015/04/01 23:25:41,Create,"{u'description': u'A simple 2-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/v2/polimp-v2.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.25}"
2015/04/01 23:28:33,Create,"{u'description': u'A simple 2-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/v2/polimp-v2.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.25}"
2015/04/01 23:37:11,Add,47 assignments
2015/04/02 14:43:45,Create,"{u'description': u'A simple 1-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/BFV_RP/bonnefonRP.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.15}"
2015/04/02 14:47:54,Create,"{u'description': u'A simple 1-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/BFV_RP/bonnefonRP.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.15}"
2015/04/02 14:58:17,Add,47 assignments
2015/04/02 14:58:30,Add,47 assignments
2015/04/09 10:13:17,Create,"{u'description': u'A simple 1-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/v3/polimp-v3.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.15}"
2015/04/09 10:14:59,Create,"{u'description': u'A simple 1-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/v3/polimp-v3.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.15}"
2015/04/09 10:18:13,Add,10 assignments
2015/04/09 10:24:44,Add,87 assignments
2015/04/10 16:09:58,Create,"{u'description': u'A simple 1-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/v4/polimp-v4.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.15}"
2015/04/10 16:10:59,Create,"{u'description': u'A simple 1-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/v4/polimp-v4.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.15}"
2015/04/10 16:19:09,Add,97 assignments
2015/04/16 17:47:48,Create,"{u'description': u'A simple 1-minute task of judging what sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/v5/polimp-v5.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.15}"
2015/04/16 17:53:01,Create,"{u'description': u'A simple 2-minute task of judging what actions/sentences mean', u'title': u'Quick study to judge what sentences mean', u'url': u'https://web.stanford.edu/~ejyoon/politeness/v5/polimp-v5.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Categorization, game, fun, short, sentences, conversation, meaning', u'auto_approval_delay': u'30 minutes', u'reward': 0.2}"
2015/04/17 13:22:32,Add,10 assignments
2015/04/17 13:58:45,Add,87 assignments
